First,Second,Third
"[('answering', 'VBG'), ('assignment', 'NN'), ('quizzes', 'NN'), ('activities', 'NNS')]","[('time', 'NN'), ('limit', 'NN'), ('need', 'NN'), ('time', 'NN'), ('answering', 'VBG'), ('activity', 'NN')]","[('time', 'NN'), ('face', 'NN'), ('face', 'VBP'), ('discussion', 'NN'), ('instead', 'RB'), ('canvas', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN'), ('every', 'DT'), ('subject', 'NN')]","[('sometimes', 'RB'), ('professors', 'NNS'), ('teached', 'VBD'), ('alligned', 'JJ'), ('canvas', 'NN')]","[('nothing', 'NN'), ('suggest', 'NN')]"
"[('none', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('answers', 'NNS'), ('activities', 'NNS'), ('quizzes', 'VBP'), ('wherever', 'RB'), ('even', 'RB'), ('school', 'NN'), ('made', 'VBD'), ('interested', 'JJ'), ('answers', 'NNS'), ('mt', 'VBP'), ('daily', 'JJ'), ('tasks', 'NNS'), ('canvas', 'NN')]","[('none', 'NN')]","[('neutral', 'JJ')]"
"[('calendar', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('accessible', 'JJ'), ('place', 'NN')]","[('codes', 'NNS'), ('subj', 'VBP')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('submit', 'NN'), ('assignments', 'NNS'), ('activities', 'NNS')]","[('applicaple', 'JJ'), ('useless', 'JJ'), ('face', 'NN'), ('face', 'NN')]","[('better', 'RB'), ('face', 'NN'), ('face', 'NN'), ('teaching', 'VBG'), ('canvas', 'JJ'), ('work', 'NN'), ('becoming', 'VBG'), ('double', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('online', 'VBP'), ('applicable', 'JJ'), ('nice', 'JJ'), ('taking', 'VBG'), ('much', 'JJ'), ('time', 'NN'), ('says', 'VBZ'), ('theres', 'NNS'), ('canvas', 'VBP'), ('dont', 'JJ'), ('need', 'VBP'), ('buy', 'VB'), ('book', 'NN'), ('buy', 'NN'), ('book', 'NN'), ('also', 'RB'), ('even', 'RB'), ('modules', 'VBZ'), ('canvas', 'JJ'), ('suggestion', 'NN'), ('school', 'NN'), ('wants', 'VBZ'), ('use', 'VBP'), ('canvas', 'NN'), ('stay', 'NN'), ('better', 'RB'), ('face', 'NN'), ('fce', 'NN'), ('teaching', 'VBG')]"
"[('modules', 'NNS'), ('canvas', 'VBP'), ('well', 'RB'), ('organized', 'VBN')]","[('lag', 'NN'), ('canvas', 'NN'), ('app', 'NN')]","[('continue', 'NN'), ('processing', 'VBG'), ('canvas', 'JJ'), ('application', 'NN'), ('mobile', 'IN'), ('phones', 'NNS')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN'), ('student', 'NN')]","[('use', 'NN'), ('outside', 'IN'), ('campus', 'NN')]","[('nothing', 'NN')]"
"[('notify', 'JJ'), ('pc', 'NN'), ('either', 'CC'), ('assignment', 'NN'), ('quizez', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easy', 'JJ'), ('use', 'NN')]","[('none', 'NN')]","[('none', 'NN')]"
"[('use', 'NN'), ('study', 'NN'), ('advance', 'NN'), ('face', 'NN'), ('face', 'NN'), ('discussion', 'NN')]","[('neutral', 'JJ')]","[('nothing', 'NN'), ('suggest', 'NN')]"
"[('access', 'NN'), ('canvas', 'NN'), ('account', 'NN'), ('anytime', 'RB'), ('even', 'RB'), ('outside', 'JJ'), ('jru', 'NN'), ('helps', 'VBZ'), ('advance', 'RB'), ('reading', 'JJ'), ('every', 'DT'), ('subjects', 'NNS'), ('idea', 'NN'), ('lesson', 'NN'), ('prepared', 'VBD'), ('next', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('meeting', 'NN')]","[('quizzes', 'NNS'), ('code', 'VBP'), ('instructor', 'NN'), ('gave', 'VBD'), ('us', 'PRP'), ('code', 'VB'), ('early', 'JJ'), ('us', 'PRP'), ('answer', 'VBP'), ('immediately', 'RB')]","[('using', 'VBG'), ('canvas', 'NN'), ('longer', 'JJR'), ('use', 'VBP'), ('book', 'NN'), ('instructors', 'NNS'), ('use', 'VBP'), ('canvas', 'JJ'), ('book', 'NN'), ('answer', 'NN'), ('quiz', 'NN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('quiz', 'NN'), ('home', 'NN')]","[('nothing', 'NN')]","[('neutral', 'JJ')]"
"[('modules', 'NNS')]","[('none', 'NN')]","[('none', 'NN')]"
"[('easy', 'JJ'), ('access', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('get', 'VB'), ('updates', 'JJ'), ('professors', 'NNS')]","[('canvas', 'NN'), ('working', 'VBG')]","[('would', 'MD'), ('like', 'VB'), ('suggest', 'JJS'), ('canvas', 'NN'), ('used', 'VBN'), ('without', 'IN'), ('internet', 'NN')]"
